,Drug,Treated,Repulls,Mortalities,Treatment Success(%),Case Fatality Rate(%),$/Hd/Rx,Treatment $,Month,Year,Risk,Season
23,LA-200,233,0.0,5.0,100.00,2.15,3.09,719.97,January,2018,Moderate,Other
24,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
25,MassRxDraxxin,4036,486.0,60.0,87.96,1.49,19.69,79482.29,January,2018,Moderate,Other
26,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
27,MassRxExcede,158,41.0,7.0,74.05,4.43,0.0,0.0,January,2018,Moderate,Other
28,MassRxLA-200,134,0.0,10.0,100.00,7.46,3.17,424.78,January,2018,Moderate,Other
29,MassRxMicotil,12915,2007.0,278.0,84.46,2.15,15.48,199924.19,January,2018,Moderate,Other
30,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
31,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
32,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
33,MassRxZactran,1298,137.0,20.0,89.45,1.54,19.08,24765.84,January,2018,Moderate,Other
0,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
1,MassRxZuprevo,9820,808.0,163.0,91.77,1.66,20.8,204288.73,January,2018,Moderate,Other
2,Micotil,6,0.0,0.0,100.00,0.00,27.73,166.38,January,2018,Moderate,Other
3,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
4,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
5,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
6,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
7,NaxcelAs3rdRx,25,0.0,11.0,100.00,44.00,0.0,0.0,January,2018,Moderate,Other
8,Nuflor,2965,662.0,312.0,77.67,10.52,33.48,99258.32,January,2018,Moderate,Other
9,NuflorAs2ndRx,784,166.0,98.0,78.83,12.50,22.95,17995.41,January,2018,Moderate,Other
10,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
11,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
12,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
13,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
14,Polyflex,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
15,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
16,ResflorGold,3653,967.0,456.0,73.53,12.48,29.95,109421.96,January,2018,Moderate,Other
17,ResflorGoldAs2ndRx,1445,135.0,207.0,90.66,14.33,25.05,36190.03,January,2018,Moderate,Other
18,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
19,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Moderate,Other
20,Zactran,175,1.0,2.0,99.43,1.14,24.42,4273.5,January,2018,Moderate,Other
21,Zuprevo,213,0.0,9.0,100.00,4.23,22.88,4873.44,January,2018,Moderate,Other
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
5,Advocin,598,71.0,96.0,88.13,16.05,42.8,25594.4,January,2018,High,Other
6,AdvocinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
7,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
8,Baytril,515,311.0,20.0,39.61,3.88,36.42,18758.87,January,2018,High,Other
9,BaytrilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
10,BaytrilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
11,Bio-Mycin,374,140.0,5.0,62.57,1.34,33.74,12617.51,January,2018,High,Other
12,Bio-MyicnAs3rdRx,150,15.0,15.0,90.00,10.00,4.52,678.0,January,2018,High,Other
13,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
14,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
15,Draxxin,11252,2132.0,649.0,81.05,5.77,40.8,459095.66,January,2018,High,Other
16,DraxxinAs2ndRx,70,34.0,3.0,51.43,4.29,31.82,2227.4,January,2018,High,Other
17,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
18,Excede,2410,366.0,286.0,84.81,11.87,24.11,58097.07,January,2018,High,Other
19,ExcedeAs2ndRx,833,342.0,32.0,58.94,3.84,18.66,15543.78,January,2018,High,Other
20,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
21,Excenel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
22,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
23,LA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
24,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
25,MassRxDraxxin,1213,165.0,11.0,86.40,0.91,36.47,44238.11,January,2018,High,Other
26,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
27,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
28,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
29,MassRxMicotil,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
30,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
31,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
32,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
33,MassRxZactran,1100,253.0,22.0,77.00,2.00,0.0,0.0,January,2018,High,Other
0,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
1,MassRxZuprevo,2054,814.0,33.0,60.37,1.61,23.09,47426.86,January,2018,High,Other
2,Micotil,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
3,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
4,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
5,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
6,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
7,NaxcelAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
8,Nuflor,1544,218.0,136.0,85.88,8.81,33.74,52094.56,January,2018,High,Other
9,NuflorAs2ndRx,138,36.0,22.0,73.91,15.94,27.7,3822.6,January,2018,High,Other
10,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
11,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
12,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
13,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
14,Polyflex,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
15,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
16,ResflorGold,292,0.0,42.0,100.00,14.38,0.0,0.0,January,2018,High,Other
17,ResflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
18,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
19,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,High,Other
20,Zactran,228,4.0,11.0,98.25,4.82,27.2,6201.6,January,2018,High,Other
21,Zuprevo,91,37.0,2.0,59.34,2.20,24.33,2214.03,January,2018,High,Other
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
5,Advocin,1,0.0,1.0,100.00,100.00,0.0,0.0,January,2018,UltraHigh,Other
6,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
7,Baytril,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
8,BaytrilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
9,BaytrilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
10,Bio-Mycin,6,0.0,2.0,100.00,33.33,0.0,0.0,January,2018,UltraHigh,Other
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
12,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
13,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
14,Draxxin,88,0.0,1.0,100.00,1.14,0.0,0.0,January,2018,UltraHigh,Other
15,DraxxinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
16,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
17,Excede,56,0.0,4.0,100.00,7.14,0.0,0.0,January,2018,UltraHigh,Other
18,ExcedeAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
19,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
20,Excenel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
21,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
22,LA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
23,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
24,MassRxDraxxin,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
25,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
26,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
27,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
28,MassRxMicotil,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
29,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
30,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
31,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
32,MassRxZactran,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
33,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
0,MassRxZuprevo,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
1,Micotil,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
2,MicotilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
3,MicotilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
4,Naxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
5,NaxcelAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
6,NaxcelAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
7,Nuflor,15,0.0,4.0,100.00,26.67,0.0,0.0,January,2018,UltraHigh,Other
8,NuflorAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
9,NuflorAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
10,NuflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
11,NuflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
12,Oxy100,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
13,Polyflex,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
14,Pro-Pen-G,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
15,ResflorGold,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
16,ResflorGoldAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
17,Tetradure,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
18,Tylan,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
19,Zactran,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,UltraHigh,Other
20,Zuprevo,21,0.0,4.0,100.00,19.05,0.0,0.0,January,2018,UltraHigh,Other
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
5,Advocin,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
6,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
7,Baytril,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
8,BaytrilAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
9,BaytrilAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
10,Bio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
11,Bio-MyicnAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
12,Borgal,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
13,Ceftiflex,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
14,Draxxin,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
15,DraxxinAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
16,DraxxinAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
17,Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
18,ExcedeAs2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
19,ExcedeAs3rdRx,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
20,Excenel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
21,Hexasol,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
22,LA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
23,MassRxBio-Mycin,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
24,MassRxDraxxin,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
25,MassRxDraxxin/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
26,MassRxExcede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
27,MassRxLA-200,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
28,MassRxMicotil,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
29,MassRxNaxcel,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
30,MassRxNoromycin300LA,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
31,MassRxNuflor,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
32,MassRxZactran,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
33,MassRxZactran/Excede,0,0.0,0.0,0.00,0.00,0.0,0.0,January,2018,Natural,Other
1,300PROLA,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2017,Low,Spring
2,A180,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2017,Low,Spring
3,A180As2ndRx,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2017,Low,Spring
4,Adspec,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2017,Low,Spring
5,Advocin,134,6.0,19.0,95.52,14.18,38.68,5182.67,February,2017,Low,Spring
6,AdvocinAs2ndRx,266,0.0,76.0,100.00,28.57,0.0,0.0,February,2017,Low,Spring
7,AlbonBolus,0,0.0,0.0,0.00,0.00,0.0,0.0,February,2017,Low,Spring
